"","Set","Time","Cell.type","SD","N","SE","Density"
"1","G",0,"Dc",75994.0178572689,12,21937.5833333477,117954.912493333
"2","G",0,"Rc",26579.7760633692,12,7672.92043259309,32793.9299569167
"3","G",0,"Tc",0,12,0,0
"4","G",4,"Dc",149653901.024712,6,61095949.2545868,225291457.601667
"5","G",4,"Rc",19807472.2290552,6,8086366.67592224,16508267.8521667
"6","G",4,"Tc",0,6,0,0
"7","G",5,"Dc",336608412.696723,6,137419809.039192,809969426.916667
"8","G",5,"Rc",37269547.663381,6,15215229.1199367,63243749.1416667
"9","G",5,"Tc",1379249.50874082,6,563076.254066563,1398969.05907
"10","G",24,"Dc",1442616569.13219,6,588945748.143058,4270072488
"11","G",24,"Rc",32464961.5130228,6,13253765.0376666,46086112.4083333
"12","G",24,"Tc",95937290.3916326,6,39166234.7941192,98466551.7611667
